Iteración,Tamaño Vector,Procesadores,Resultado
1,10000,2,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.145037 numprocesos: 2 tpar: 0.301710 seepUp: 0.480717 eficiencia: 24.035829%
2,10000,2,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.145118 numprocesos: 2 tpar: 0.299204 seepUp: 0.485014 eficiencia: 24.250678%
3,10000,2,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.155590 numprocesos: 2 tpar: 0.304200 seepUp: 0.511473 eficiencia: 25.573636%
4,10000,2,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.144850 numprocesos: 2 tpar: 0.314235 seepUp: 0.460961 eficiencia: 23.048037%
5,10000,2,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.155823 numprocesos: 2 tpar: 0.309427 seepUp: 0.503586 eficiencia: 25.179283%
6,10000,2,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.155526 numprocesos: 2 tpar: 0.307217 seepUp: 0.506242 eficiencia: 25.312076%
7,10000,2,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.155522 numprocesos: 2 tpar: 0.313798 seepUp: 0.495612 eficiencia: 24.780591%
8,10000,2,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.154758 numprocesos: 2 tpar: 0.303249 seepUp: 0.510333 eficiencia: 25.516655%
9,10000,2,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.155379 numprocesos: 2 tpar: 0.315108 seepUp: 0.493098 eficiencia: 24.654880%
10,10000,2,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.129705 numprocesos: 2 tpar: 0.313314 seepUp: 0.413978 eficiencia: 20.698884%
11,10000,2,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.156330 numprocesos: 2 tpar: 0.326744 seepUp: 0.478448 eficiencia: 23.922398%
12,10000,2,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.138008 numprocesos: 2 tpar: 0.309364 seepUp: 0.446102 eficiencia: 22.305116%
13,10000,2,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.153377 numprocesos: 2 tpar: 0.317793 seepUp: 0.482632 eficiencia: 24.131589%
14,10000,2,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.129680 numprocesos: 2 tpar: 0.308433 seepUp: 0.420448 eficiencia: 21.022394%
15,10000,2,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.129798 numprocesos: 2 tpar: 0.310932 seepUp: 0.417448 eficiencia: 20.872409%
16,10000,2,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.153702 numprocesos: 2 tpar: 0.303210 seepUp: 0.506916 eficiencia: 25.345800%
17,10000,2,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.156427 numprocesos: 2 tpar: 0.302734 seepUp: 0.516714 eficiencia: 25.835717%
18,10000,2,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.129566 numprocesos: 2 tpar: 0.305907 seepUp: 0.423547 eficiencia: 21.177351%
19,10000,2,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.144114 numprocesos: 2 tpar: 0.301170 seepUp: 0.478514 eficiencia: 23.925690%
20,10000,2,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.155257 numprocesos: 2 tpar: 0.308479 seepUp: 0.503298 eficiencia: 25.164922%
21,10000,2,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.129497 numprocesos: 2 tpar: 0.306850 seepUp: 0.422021 eficiencia: 21.101027%
22,10000,2,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.154991 numprocesos: 2 tpar: 0.311671 seepUp: 0.497290 eficiencia: 24.864521%
23,10000,2,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.144926 numprocesos: 2 tpar: 0.300992 seepUp: 0.481495 eficiencia: 24.074726%
24,10000,2,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.129524 numprocesos: 2 tpar: 0.299362 seepUp: 0.432667 eficiencia: 21.633340%
25,10000,2,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.155348 numprocesos: 2 tpar: 0.311898 seepUp: 0.498073 eficiencia: 24.903654%
26,10000,2,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.151698 numprocesos: 2 tpar: 0.312945 seepUp: 0.484743 eficiencia: 24.237166%
27,10000,2,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.155643 numprocesos: 2 tpar: 0.312844 seepUp: 0.497510 eficiencia: 24.875497%
28,10000,2,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.154498 numprocesos: 2 tpar: 0.309245 seepUp: 0.499597 eficiencia: 24.979870%
29,10000,2,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.154880 numprocesos: 2 tpar: 0.308221 seepUp: 0.502497 eficiencia: 25.124829%
30,10000,2,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.155189 numprocesos: 2 tpar: 0.310158 seepUp: 0.500355 eficiencia: 25.017733%
1,10000,4,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.129582 numprocesos: 4 tpar: 0.155740 seepUp: 0.832041 eficiencia: 20.801015%
2,10000,4,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.129960 numprocesos: 4 tpar: 0.156469 seepUp: 0.830580 eficiencia: 20.764496%
3,10000,4,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.145369 numprocesos: 4 tpar: 0.155839 seepUp: 0.932815 eficiencia: 23.320382%
4,10000,4,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.144620 numprocesos: 4 tpar: 0.158902 seepUp: 0.910121 eficiencia: 22.753018%
5,10000,4,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.130295 numprocesos: 4 tpar: 0.157469 seepUp: 0.827433 eficiencia: 20.685818%
6,10000,4,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.155503 numprocesos: 4 tpar: 0.161132 seepUp: 0.965066 eficiencia: 24.126648%
7,10000,4,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.162162 numprocesos: 4 tpar: 0.158066 seepUp: 1.025913 eficiencia: 25.647831%
8,10000,4,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.144164 numprocesos: 4 tpar: 0.156517 seepUp: 0.921076 eficiencia: 23.026892%
9,10000,4,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.164808 numprocesos: 4 tpar: 0.151115 seepUp: 1.090613 eficiencia: 27.265328%
10,10000,4,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.155394 numprocesos: 4 tpar: 0.156540 seepUp: 0.992679 eficiencia: 24.816980%
11,10000,4,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.164677 numprocesos: 4 tpar: 0.158095 seepUp: 1.041633 eficiencia: 26.040830%
12,10000,4,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.154609 numprocesos: 4 tpar: 0.155159 seepUp: 0.996455 eficiencia: 24.911381%
13,10000,4,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.130151 numprocesos: 4 tpar: 0.154359 seepUp: 0.843171 eficiencia: 21.079270%
14,10000,4,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.129604 numprocesos: 4 tpar: 0.155234 seepUp: 0.834894 eficiencia: 20.872360%
15,10000,4,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.129685 numprocesos: 4 tpar: 0.160430 seepUp: 0.808359 eficiencia: 20.208970%
16,10000,4,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.144453 numprocesos: 4 tpar: 0.152270 seepUp: 0.948664 eficiencia: 23.716589%
17,10000,4,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.170131 numprocesos: 4 tpar: 0.274945 seepUp: 0.618782 eficiencia: 15.469548%
18,10000,4,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.250899 numprocesos: 4 tpar: 0.281887 seepUp: 0.890069 eficiencia: 22.251736%
19,10000,4,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.193667 numprocesos: 4 tpar: 0.153832 seepUp: 1.258951 eficiencia: 31.473783%
20,10000,4,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.144805 numprocesos: 4 tpar: 0.151032 seepUp: 0.958770 eficiencia: 23.969258%
21,10000,4,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.142093 numprocesos: 4 tpar: 0.154433 seepUp: 0.920095 eficiencia: 23.002370%
22,10000,4,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.173229 numprocesos: 4 tpar: 0.281464 seepUp: 0.615457 eficiencia: 15.386426%
23,10000,4,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.250573 numprocesos: 4 tpar: 0.280450 seepUp: 0.893468 eficiencia: 22.336691%
24,10000,4,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.249945 numprocesos: 4 tpar: 0.280578 seepUp: 0.890822 eficiencia: 22.270545%
