Iteración,Tamaño Vector,Procesadores,Resultado
1,10000,2,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.082300 numprocesos: 2 tpar: 0.315185 seepUp: 3.829708 eficiencia: 191.485419%
2,10000,2,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.091749 numprocesos: 2 tpar: 0.310711 seepUp: 3.386533 eficiencia: 169.326641%
3,10000,2,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.091064 numprocesos: 2 tpar: 0.308901 seepUp: 3.392131 eficiencia: 169.606540%
4,10000,2,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.081067 numprocesos: 2 tpar: 0.308799 seepUp: 3.809183 eficiencia: 190.459126%
5,10000,2,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.080853 numprocesos: 2 tpar: 0.309303 seepUp: 3.825498 eficiencia: 191.274906%
6,10000,2,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.065326 numprocesos: 2 tpar: 0.304642 seepUp: 4.663411 eficiencia: 233.170560%
7,10000,2,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.079216 numprocesos: 2 tpar: 0.303692 seepUp: 3.833720 eficiencia: 191.686023%
8,10000,2,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.081214 numprocesos: 2 tpar: 0.308564 seepUp: 3.799394 eficiencia: 189.969710%
9,10000,2,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.080552 numprocesos: 2 tpar: 0.298451 seepUp: 3.705072 eficiencia: 185.253625%
10,10000,2,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.091374 numprocesos: 2 tpar: 0.316292 seepUp: 3.461510 eficiencia: 173.075492%
11,10000,2,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.092448 numprocesos: 2 tpar: 0.311357 seepUp: 3.367915 eficiencia: 168.395747%
12,10000,2,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.065234 numprocesos: 2 tpar: 0.316303 seepUp: 4.848745 eficiencia: 242.437226%
13,10000,2,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.097910 numprocesos: 2 tpar: 0.313749 seepUp: 3.204463 eficiencia: 160.223164%
14,10000,2,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.091547 numprocesos: 2 tpar: 0.300174 seepUp: 3.278906 eficiencia: 163.945296%
15,10000,2,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.066233 numprocesos: 2 tpar: 0.298742 seepUp: 4.510471 eficiencia: 225.523531%
16,10000,2,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.066821 numprocesos: 2 tpar: 0.308241 seepUp: 4.612936 eficiencia: 230.646803%
17,10000,2,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.091764 numprocesos: 2 tpar: 0.303785 seepUp: 3.310503 eficiencia: 165.525151%
18,10000,2,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.090849 numprocesos: 2 tpar: 0.307271 seepUp: 3.382217 eficiencia: 169.110832%
19,10000,2,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.091299 numprocesos: 2 tpar: 0.299075 seepUp: 3.275775 eficiencia: 163.788760%
20,10000,2,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.090791 numprocesos: 2 tpar: 0.298420 seepUp: 3.286890 eficiencia: 164.344483%
21,10000,2,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.082428 numprocesos: 2 tpar: 0.304100 seepUp: 3.689280 eficiencia: 184.464017%
22,10000,2,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.081188 numprocesos: 2 tpar: 0.309876 seepUp: 3.816771 eficiencia: 190.838548%
23,10000,2,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.080705 numprocesos: 2 tpar: 0.298154 seepUp: 3.694368 eficiencia: 184.718419%
24,10000,2,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.091024 numprocesos: 2 tpar: 0.308735 seepUp: 3.391798 eficiencia: 169.589888%
25,10000,2,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.090553 numprocesos: 2 tpar: 0.306947 seepUp: 3.389694 eficiencia: 169.484722%
26,10000,2,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.081144 numprocesos: 2 tpar: 0.311542 seepUp: 3.839372 eficiencia: 191.968599%
27,10000,2,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.091569 numprocesos: 2 tpar: 0.307207 seepUp: 3.354924 eficiencia: 167.746180%
28,10000,2,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.091434 numprocesos: 2 tpar: 0.312643 seepUp: 3.419330 eficiencia: 170.966489%
29,10000,2,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.091671 numprocesos: 2 tpar: 0.302992 seepUp: 3.305211 eficiencia: 165.260551%
30,10000,2,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.080377 numprocesos: 2 tpar: 0.304727 seepUp: 3.791221 eficiencia: 189.561068%
1,10000,4,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.080671 numprocesos: 4 tpar: 0.150841 seepUp: 1.869829 eficiencia: 46.745733%
2,10000,4,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.090991 numprocesos: 4 tpar: 0.151702 seepUp: 1.667220 eficiencia: 41.680496%
3,10000,4,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.080487 numprocesos: 4 tpar: 0.157554 seepUp: 1.957509 eficiencia: 48.937717%
4,10000,4,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.079721 numprocesos: 4 tpar: 0.152612 seepUp: 1.914326 eficiencia: 47.858155%
5,10000,4,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.065749 numprocesos: 4 tpar: 0.153783 seepUp: 2.338941 eficiencia: 58.473513%
6,10000,4,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.084279 numprocesos: 4 tpar: 0.151019 seepUp: 1.791894 eficiencia: 44.797340%
7,10000,4,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.090890 numprocesos: 4 tpar: 0.154986 seepUp: 1.705204 eficiencia: 42.630102%
8,10000,4,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.080607 numprocesos: 4 tpar: 0.154134 seepUp: 1.912166 eficiencia: 47.804161%
9,10000,4,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.080626 numprocesos: 4 tpar: 0.156354 seepUp: 1.939250 eficiencia: 48.481259%
10,10000,4,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.065299 numprocesos: 4 tpar: 0.151460 seepUp: 2.319484 eficiencia: 57.987105%
11,10000,4,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.089439 numprocesos: 4 tpar: 0.152099 seepUp: 1.700589 eficiencia: 42.514731%
12,10000,4,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.091264 numprocesos: 4 tpar: 0.152629 seepUp: 1.672390 eficiencia: 41.809750%
13,10000,4,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.090680 numprocesos: 4 tpar: 0.155665 seepUp: 1.716641 eficiencia: 42.916023%
14,10000,4,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.090994 numprocesos: 4 tpar: 0.153555 seepUp: 1.687529 eficiencia: 42.188221%
15,10000,4,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.096653 numprocesos: 4 tpar: 0.156383 seepUp: 1.617984 eficiencia: 40.449598%
16,10000,4,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.080722 numprocesos: 4 tpar: 0.155411 seepUp: 1.925262 eficiencia: 48.131550%
17,10000,4,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.065159 numprocesos: 4 tpar: 0.162793 seepUp: 2.498396 eficiencia: 62.459906%
18,10000,4,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.080685 numprocesos: 4 tpar: 0.160003 seepUp: 1.983058 eficiencia: 49.576439%
19,10000,4,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.090534 numprocesos: 4 tpar: 0.156766 seepUp: 1.731570 eficiencia: 43.289261%
20,10000,4,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.088866 numprocesos: 4 tpar: 0.152703 seepUp: 1.718351 eficiencia: 42.958781%
21,10000,4,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.080114 numprocesos: 4 tpar: 0.150776 seepUp: 1.882018 eficiencia: 47.050453%
22,10000,4,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.065289 numprocesos: 4 tpar: 0.157547 seepUp: 2.413071 eficiencia: 60.326778%
23,10000,4,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.090982 numprocesos: 4 tpar: 0.156015 seepUp: 1.714790 eficiencia: 42.869743%
24,10000,4,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.082736 numprocesos: 4 tpar: 0.160144 seepUp: 1.935602 eficiencia: 48.390060%
25,10000,4,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.090618 numprocesos: 4 tpar: 0.155220 seepUp: 1.712905 eficiencia: 42.822618%
26,10000,4,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.080639 numprocesos: 4 tpar: 0.155400 seepUp: 1.927107 eficiencia: 48.177681%
27,10000,4,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.065200 numprocesos: 4 tpar: 0.152832 seepUp: 2.344049 eficiencia: 58.601227%
28,10000,4,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.090432 numprocesos: 4 tpar: 0.156124 seepUp: 1.726424 eficiencia: 43.160607%
29,10000,4,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.091290 numprocesos: 4 tpar: 0.154996 seepUp: 1.697842 eficiencia: 42.446051%
30,10000,4,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.091012 numprocesos: 4 tpar: 0.155917 seepUp: 1.713148 eficiencia: 42.828693%
1,10000,6,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.089288 numprocesos: 6 tpar: 0.102516 seepUp: 1.148150 eficiencia: 19.135830%
2,10000,6,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.065305 numprocesos: 6 tpar: 0.106875 seepUp: 1.636552 eficiencia: 27.275859%
3,10000,6,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.065324 numprocesos: 6 tpar: 0.106882 seepUp: 1.636183 eficiencia: 27.269712%
4,10000,6,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.080397 numprocesos: 6 tpar: 0.104428 seepUp: 1.298904 eficiencia: 21.648403%
5,10000,6,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.089858 numprocesos: 6 tpar: 0.103826 seepUp: 1.155445 eficiencia: 19.257421%
